schema,accuracy_notice,confidence_note,character_id,character,profile_key,last_seen_slot,last_seen_utc,move_kind,data_origin,move_label,move_id_hex,move_id_decimal,hit_segment,duplicate_index,move_address,active_start,active_end,active_frames,active2_start,active2_end,recovery,total_animation_frames,hitstun,blockstun,hitstop,advantage_on_hit,advantage_on_block,damage,meter,multi_hit_count,invulnerability,invulnerability_frames,stun_source,hitstun_source,blockstun_source,hitstop_source,recovery_source,runtime_hit_samples,runtime_block_samples,runtime_recovery_samples,profile_source,character_table_address,manual_verification,research_notes,row_key
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,7,Ippatsuman,id_07_ippatsuman,P2-C2,2026-07-08T13:11:31Z,normal,saved full action profile,5A,0x0100,256,,,0x909F86A4,5,7,3,8,8,14,22,12,9,0,-2,-5,800,50,0,,0,,,,,mot_derived,,,,saved full action profile,0x909DFF00,,,7|id_07_ippatsuman|normal|action:0100|||5A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,7,Ippatsuman,id_07_ippatsuman,P2-C2,2026-07-08T13:11:31Z,normal,saved full action profile,5B,0x0101,257,,,0x909F8AF0,11,13,3,8,8,42,55,17,17,0,-25,-25,800,100,1,,0,,,,,mot_derived,,,,saved full action profile,0x909DFF00,,,7|id_07_ippatsuman|normal|action:0101|||5B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,7,Ippatsuman,id_07_ippatsuman,P2-C2,2026-07-08T13:11:31Z,normal,saved full action profile,5C,0x0102,258,,,0x909F9060,16,19,4,11,11,31,50,27,24,0,-4,-7,3040,150,1,,0,,,,,mot_derived,,,,saved full action profile,0x909DFF00,,,7|id_07_ippatsuman|normal|action:0102|||5C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,7,Ippatsuman,id_07_ippatsuman,P2-C2,2026-07-08T13:11:31Z,normal,saved full action profile,2A,0x0103,259,,,0x909F93DC,5,8,4,11,11,10,21,13,11,0,3,1,800,50,0,,0,,,,,mot_derived,,,,saved full action profile,0x909DFF00,,,7|id_07_ippatsuman|normal|action:0103|||2A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,7,Ippatsuman,id_07_ippatsuman,P2-C2,2026-07-08T13:11:31Z,normal,saved full action profile,2B,0x0104,260,,,0x909F9830,10,13,4,2,4,22,35,22,20,0,0,-2,1600,100,1,,0,,,,,mot_derived,,,,saved full action profile,0x909DFF00,,,7|id_07_ippatsuman|normal|action:0104|||2B
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,7,Ippatsuman,id_07_ippatsuman,P2-C2,2026-07-08T13:11:31Z,normal,saved full action profile,2C,0x0105,261,,,0x909F9C88,15,23,9,1,4,0,15,25,27,0,25,27,3280,150,1,,0,,,,,mot_derived,,,,saved full action profile,0x909DFF00,,,7|id_07_ippatsuman|normal|action:0105|||2C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,7,Ippatsuman,id_07_ippatsuman,P2-C2,2026-07-08T13:11:31Z,normal,saved full action profile,6C,0x0106,262,,,0x909FA1AC,16,21,6,12,12,0,10,26,28,0,26,28,4000,150,1,,0,,,,,mot_derived,,,,saved full action profile,0x909DFF00,,,7|id_07_ippatsuman|normal|action:0106|||6C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,7,Ippatsuman,id_07_ippatsuman,P2-C2,2026-07-08T13:11:31Z,normal,saved full action profile,3C,0x0108,264,,,0x909FA5AC,10,13,4,12,12,37,50,21,15,0,-16,-22,2400,150,0,,0,,,,,mot_derived,,,,saved full action profile,0x909DFF00,,,7|id_07_ippatsuman|normal|action:0108|||3C
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,7,Ippatsuman,id_07_ippatsuman,P2-C2,2026-07-08T13:11:31Z,normal,saved full action profile,j.A,0x0109,265,,,0x909FA8A8,5,13,9,,,47,60,12,9,0,-35,-38,800,50,1,,0,,,,,mot_derived,,,,saved full action profile,0x909DFF00,,,7|id_07_ippatsuman|normal|action:0109|||j.A
tvc_continuo.frame_data_observed.v1,BEST-EFFORT REVERSE-ENGINEERED FRAME DATA. This sheet is not 100% accurate; verify values with in-game testing before treating them as final.,Scanner-derived row; verify with in-game tests before confirming.,7,Ippatsuman,id_07_ippatsuman,P2-C2,2026-07-08T13:11:31Z,normal,saved full action profile,j.B,0x010A,266,,,0x909FACBC,8,17,10,,,31,48,17,12,0,-14,-19,1600,100,1,,0,,,,,mot_derived,,,,saved full action profile,0x909DFF00,,,7|id_07_ippatsuman|normal|action:010A|||j.B
